City,Latitude,Longitude,Max Temperature,Humidity,Cloudiness,Wind Speed,City Country,City Date
saint-denis,48.94,2.36,290.15,55,0,1.5,FR,1567461072
suez,29.97,32.54,297.0,78,0,5.05,EG,1567461072
karasburg,-28.01,18.75,288.9,10,3,4.93,NA,1567461073
adrar,27.87,-0.29,309.15,18,0,5.7,DZ,1567461074
laguna,16.17,-88.94,306.15,59,40,3.1,BZ,1567461075
farah,32.37,62.11,292.3,29,0,2.73,AF,1567461076
gelemso,8.81,40.52,292.6,69,73,3.12,ET,1567461078
inta,66.04,60.13,278.1,91,100,0.81,RU,1567461079
kipushi,-11.76,27.24,292.7,37,2,2.7,CD,1567461079
batticaloa,7.71,81.69,297.7,75,100,0.69,LK,1567460951
mouila,-1.86,11.06,297.4,75,46,2.68,GA,1567461080
arroyo,-11.08,-66.08,307.15,49,20,3.1,BO,1567461081
west bay,49.34,-123.21,299.26,73,20,4.1,CA,1567461082
aksarka,66.56,67.8,279.3,82,100,3.42,RU,1567461083
yalutorovsk,56.65,66.31,282.04,92,88,0.45,RU,1567461083
salas,-6.27,-79.61,292.15,29,0,7.7,PE,1567461083
bandiagara,14.35,-3.61,300.15,83,20,2.1,ML,1567461084
novo aripuana,-5.12,-60.38,305.3,44,74,1.19,BR,1567461084
reshetylivka,49.56,34.08,293.8,43,41,1.22,UA,1567461088
sao francisco,-25.65,-53.85,295.15,53,0,1.5,BR,1567461088
dikson,73.51,80.55,278.8,94,66,3.77,RU,1567461091
hithadhoo,-0.6,73.08,301.3,76,100,4.04,MV,1567461092
minas,-34.38,-55.24,285.15,54,40,4.6,UY,1567461092
mangan,27.5,88.54,289.2,88,100,0.07,IN,1567461092
mao,19.55,-71.08,308.15,44,40,7.7,DO,1567461093
sao gotardo,-19.31,-46.05,297.04,57,78,0.89,BR,1567461093
montepuez,-13.13,39.0,294.2,66,30,2.04,MZ,1567461093
abha,18.22,42.5,295.15,37,0,1.35,SA,1567461094
les pavillons-sous-bois,48.91,2.5,290.15,55,0,1.5,FR,1567461094
antalaha,-14.9,50.28,290.1,98,20,1.74,MG,1567461097
port-cartier,50.03,-66.88,285.37,100,90,2.1,CA,1567461097
tucuman,-17.17,-70.89,292.8,19,0,4.86,PE,1567461097
kuryk,43.18,51.68,292.6,44,100,2.71,KZ,1567461098
turkan,35.6,68.92,280.9,43,0,0.83,AF,1567461098
usinsk,66.0,57.56,279.2,85,83,2.4,RU,1567461098
